question_id,question,ideal_answer,student_1_answer,student_2_answer,student_3_answer,student_1_score,student_2_score,student_3_score,student_4_answer,student_4_score
89,What is a buffer overflow?,"A buffer overflow occurs when a program writes data beyond the boundaries of allocated memory, potentially leading to crashes or security vulnerabilities.","A buffer overflow happens when a program tries to store more data in a memory buffer than it was designed to hold.  This overwrites adjacent memory locations, which can cause the program to crash or, more seriously, create a security risk by allowing malicious code to be executed.","A buffer overflow happens when a program tries to put too much information into a storage space.  This can cause the program to stop working.  It's like trying to put too many things in a small box – it overflows.  I think it has something to do with memory, but I'm not sure exactly how it affects security.","So like, um, a buffer overflow?  It's when, you know, your computer's buffer, which is like a thing that holds stuff, gets too full.  It's like a cup overflowing with coffee, except instead of coffee it's data. And then, uh, bad things happen. Maybe the computer slows down, or it crashes.  I think it has something to do with RAM?  Or maybe the internet?  I'm not really sure.  It's probably a virus, right?  Because viruses make computers crash.",9.4,9.2,8.0,"A buffer overflow is a situation where a program is unable to read or write to a file or directory.

A buffer overflow occurs when a program is unable to read or write to a file or directory.",3
90,What is the purpose of unit testing?,"Unit testing involves testing individual components or functions of software to ensure they work as intended, helping to identify and fix bugs early in development.","Unit testing is a method of software testing where individual pieces of code, like functions or modules, are checked to see if they perform correctly.  This helps find and fix problems early in the development process, making the overall software more reliable.","Unit testing is when you test parts of your code, like small functions.  It's good because it helps find mistakes.  If you find a bug, it's easier to fix it if you're only looking at a small piece of the program.  So it saves time later.  I think... it's important for making sure the whole program works right.","Unit testing?  Yeah, so like, you know, you test stuff.  I think.  It's got something to do with, um, making sure the computer doesn't crash, right? Or maybe it's about making sure the buttons work.  I saw a video once where they were clicking buttons.  That's probably unit testing.  It's important because, well, if you don't test things, they might break, and that would be bad.  So yeah, testing is good.  I think.  Maybe we should test the internet connection too, while we're at it.  That's important, right?",9.4,8.2,6.3,Unit testing is a way to test your code. It's a way to test your code. It's a way to test your code. It's a way to test your code. It's a,3
91,What is an algorithm in computer science?,An algorithm is a finite sequence of instructions or steps designed to solve a problem or perform a task.,"An algorithm is a set of instructions, a step-by-step process, created to solve a specific problem.  It's essentially a recipe or a plan that, when followed precisely, will produce a desired outcome.  The instructions are designed to be finite, meaning they eventually complete.","An algorithm is like a recipe, a set of steps to do something.  It solves a problem, I think.  You follow the steps and get an answer.  It has to be specific, but it doesn't have to be *that* detailed.","Um, an algorithm?  It's like, a recipe, I guess?  Except instead of cookies, it's for, like, a computer.  You know, with numbers and stuff.  It has to be really specific, like, ""add two plus two,""  and then, uh,  it has to be really, really long because computers are dumb.  They need lots of tiny steps.  My friend said something about Big O notation, but I didn't understand that part.  So yeah, a recipe for computers.  It's gotta be finite, I think, because otherwise it'd go on forever, which would be bad.",9.1,8.3,5.8,An algorithm is a set of algorithms that can be used to solve a problem. The algorithm is a set of algorithms that can be used to solve a problem. The algorithm is a set of algorithms that,3
92,What is the difference between stack and queue in data structures?,"A stack follows the Last-In-First-Out (LIFO) principle, whereas a queue follows First-In-First-Out (FIFO).","Stacks and queues are both data structures used for storing and managing data, but they differ significantly in how they handle elements.  A stack operates on a Last-In-First-Out basis, meaning the last item added is the first one removed.  In contrast, a queue uses a First-In-First-Out approach; the first item added is the first to be retrieved.","Stacks and queues are both data structures used for storing things.  A stack is like a pile, you add things to the top and take things off the top – so the last thing you put in is the first thing you get out.  Queues are… well, they're kind of like a line.  You add things to the end and take them from the beginning. I think that's right.  They're different but I'm not entirely sure I can explain the difference perfectly.","Stacks and queues are like, totally different, right?  I think a stack is, um,  like a pile of pancakes. You eat the top one first, so it's FIFO.  Queues are... well, they're like a line at a store.  You wait in line, so it's LIFO, I guess?  Or maybe it's the other way around.  I'm not really sure.  Something about data structures and algorithms, which is, like, really hard.  They both use pointers, I think?  And arrays maybe?  Yeah, definitely arrays.",7.7,7.5,7.8,"Stack is a data structure that is a collection of elements. Queue is a collection of elements.

Stack is a collection of elements. Stack is a collection of elements.",3
93,What is the purpose of normalization in databases?,Normalization reduces data redundancy and improves data integrity by organizing fields and table relationships.,"Normalization is a database design technique that aims to improve data quality.  It does this primarily by minimizing redundancy in the data.  By carefully structuring fields and the relationships between tables, normalization ensures that data is stored efficiently and consistently, leading to better data integrity.","Normalization is a way to organize databases.  It helps to avoid repeating information, so you don't have the same data in multiple places.  I think it makes the database better, but I'm not totally sure how.  It's something about making the tables work together properly, but I'm still a little confused about the details.","Normalization is, like, when you make your data all neat and tidy.  It's got something to do with rows and columns, I think?  My friend said it's important for spreadsheets, so you don't get duplicate information, which is bad because it takes up extra space on your computer.  Also, you need to normalize your data before you can use it in a website, I heard.  So yeah, it's about making things organized, I guess.  But it's really complicated and I didn't understand the lecture.",8.7,8.0,7.2,"The purpose of normalization is to make it easier for users to find information about their data.



Normalization is a way",3
94,What is a microprocessor?,A microprocessor is the central unit of a computer that performs arithmetic and logical operations.,"A microprocessor is the brain of a computer, responsible for carrying out calculations and making logical decisions.  It's the central processing unit that handles all the arithmetic and logic needed to run programs.","A microprocessor is like the brain of a computer.  It does calculations and stuff, I think.  It's a chip that makes the computer work,  but I'm not sure about all the details of what it does exactly.  It's important for processing information.","Um, a microprocessor?  It's like, a really tiny computer inside a bigger computer, right?  I think it has something to do with electricity and maybe those little things on the motherboard?  They're, like, chips, or something.  It makes the computer work, I guess.  My dad says it's important for gaming, because it makes the games run faster.  So, yeah, it's a chip that makes the games run faster.",9.1,8.0,6.6,A microprocessor is a computer program that is designed to run on a computer. It is a computer program that is designed to run on a computer. It is a computer program that is designed to run on a,3
95,What is a relational database?,"A relational database stores data in tables with predefined relationships, often managed with SQL.","Relational databases organize information into tables, linked together to show how the data relates.  You typically use SQL to manage and query these databases.","Relational databases use tables to organize information.  They're like spreadsheets, but more powerful. You can link tables together, I think, to show how data relates.  SQL is used, I'm pretty sure, to access the data.","Relational databases...  uh... they're like, spreadsheets?  But, you know, bigger.  And they use a special language,  something like Python, to talk to them.  I think it's all about connecting things, like, if you have a table of customers and a table of orders, they somehow link up.  It's all very complicated though, and I'm not really sure how it all works, but I think it involves lots of numbers.  Maybe some graphs too?  Yeah, graphs.  Definitely graphs.",8.1,7.9,7.2,"A relational database is a set of data structures that are used to store information about a person or a group of people.

A relational database is a set of data structures that are used to store information about",3
96,What is a REST API?,"A REST API follows the REST architectural style, using HTTP methods for communication.","A REST API uses HTTP requests to communicate, adhering to the principles of the REST architectural style.  It leverages standard HTTP methods like GET, POST, PUT, and DELETE to manage resources.","A REST API is, like, a way for computers to talk to each other over the internet.  It uses HTTP, I think, to send and receive information.  It's all about resources and getting them, you know?  So you ask for something and it gives it to you.  I'm not sure about all the specifics of the ""architectural style"" part, but it's pretty efficient.","REST API...  uhm... it's like, a website thing?  You know,  like, you click buttons and stuff, and it talks to the computer.  It uses the internet, I think?  Maybe it's related to those Java things we learned about?  I'm pretty sure there's a lot of code involved,  probably Python or something.  It's complicated.  I don't really get it.",8.5,8.5,7.0,"A REST API is a set of APIs that are used to communicate with a REST API.

A REST API is a set of APIs that are used to communicate with a REST API. A REST API is",3
97,What is cloud computing?,"Cloud computing delivers computing services over the internet, including storage and software.","Cloud computing provides on-demand access to computing resources, like storage and applications, all delivered via the internet.","Cloud computing is like, um,  having your computer stuff online.  You can save things there, I think.  And it uses the internet, obviously.  It's helpful because you don't need as much storage on your own computer.","Cloud computing?  Yeah, it's like, a big fluffy thing in the sky, right?  I think it has something to do with Google Docs, maybe?  Or those things that make it rain.  Anyway, it's all online, so you don't need a computer, I guess.  Unless you do.  But it saves space, because it's in the clouds.  So, less stuff on your hard drive.  I think.",8.7,8.0,6.5,"Cloud computing is a new technology that allows you to create and manage your own data. It's a way to store and share your data without having to worry about your data being shared with other people.

Cloud",3
98,What is encapsulation in OOP?,"Encapsulation restricts access to object properties, ensuring controlled data manipulation.","Encapsulation is a way to protect an object's internal data.  It limits how that data can be accessed and changed, making sure that updates are done in a controlled manner.  This helps prevent accidental or unintended modification of the object's properties.","Encapsulation is like a container for data.  It keeps things together.  You can only access the data inside through special methods, which is good for security.  It helps prevent mistakes.","Encapsulation, um, is like a capsule?  You put stuff inside, right? So it's about keeping things secret, I guess.  Like, if you have a really cool toy, you don't want everyone messing with it, so you put it in a box. That's encapsulation.  It's important for security, I think, because hackers can't get at your data if it's all locked up inside a…a thing.  And maybe it helps with organization too.  Like, putting your socks in one drawer and your shirts in another.  Yeah, that's pretty much it.",8.2,7.8,6.9,"OOP is a collection of tools that allow you to create and manage OOP environments.

OOP is a collection of tools that allow you to create and manage OOP environments. OOP",1
99,What is a binary search algorithm?,A binary search algorithm finds an element in a sorted list by repeatedly dividing the search interval in half.,"Binary search is a method for locating an item in a sorted list.  It works by repeatedly narrowing down the search area, essentially halving the size of the search interval with each comparison.  This continues until the target element is found or the search interval is empty.","Binary search is a way to find things in a list.  It works by, like, splitting the list in half and checking if the thing you're looking for is in that half.  Then you keep splitting the half until you find it.  It's faster than just looking through everything one by one, I think.  You need the list to be sorted though, otherwise it won't work properly.","Binary search?  Uh, it's like, you have a bunch of numbers, right?  And you're looking for one. So you, like, guess the middle number.  If it's too high, you look at the pictures on the wall for a while. Then, if it's not that, you keep guessing, maybe starting at the beginning and going one by one?  Or something.  I think it has something to do with computers but I mostly just remember the teacher saying something about sorting. It's really confusing.",7.7,7.5,6.6,A binary search algorithm is a set of algorithms that are used to search for a given value. The algorithm is a set of algorithms that are used to search for a given value. The algorithm is a set,3
100,What is a firewall?,A firewall monitors and controls incoming and outgoing network traffic for security.,"A firewall is a security system that manages network traffic, allowing or blocking data based on pre-defined rules.  It essentially acts as a gatekeeper, controlling both the data entering and leaving a network.","A firewall is like a gatekeeper for your computer, letting good stuff in and keeping bad stuff out.  It checks the network traffic, I think, to see if it's safe.  So, it protects you from viruses.","A firewall is like, a wall, right?  It keeps bad guys out of your computer.  I think it uses electricity or something to block viruses.  My dad said it's important for online gaming, because hackers might steal your cool skins.  So yeah, it's a wall, and it stops bad stuff.  Maybe it's made of fire?  I dunno.",7.0,5.9,5.9,"A firewall is a firewall that is designed to prevent unauthorized access to a computer or network. It is designed to prevent unauthorized access to a computer or network.

A firewall is a firewall that is designed to prevent",3
101,What is recursion in programming?,Recursion occurs when a function calls itself to solve a smaller instance of a problem.,"Recursion happens when a function uses itself to break down a problem into smaller, similar parts.  It's like solving a puzzle by repeatedly applying the same method to smaller and smaller pieces until you reach a simple, easily solvable part.","Recursion is when a function repeats itself.  It keeps calling itself until it solves the problem.  I think it makes the code shorter, but it can be hard to understand.  It's like a loop, but it calls itself instead of going back to the beginning.","Recursion?  Uh, that's when, like, a computer program does a loop, right?  But it's, like, super complicated, and it uses itself.  I think.  It's got something to do with repeating things, maybe over and over again until it gets the answer.  My friend said it's like those Russian nesting dolls, but I don't really get how that relates to coding.  It's probably really hard and I didn't understand the lecture, so yeah.",9.1,8.6,7.3,"Recursion is a type system that allows you to write programs that are recursively recursive. It is a type system that allows you to write programs that are recursively recursive.

Recursion",3
102,What is a pointer in programming?,A pointer stores the memory address of another variable.,"A pointer is a variable that holds the location, or address, of another variable in memory.  It essentially tells you where to find the data stored by that other variable.","A pointer is like a label that points to where something is in the computer's memory.  It holds the location of a variable, so you can access the variable using the pointer.  I think... it's kind of like a shortcut.","Um, a pointer?  It's like... a little arrow?  Yeah, an arrow that points to... stuff.  Like, you know, if you have a variable, it's like a box, and the pointer is an arrow pointing to that box.  Or maybe it's the box's address?  I think?  And sometimes pointers are used in games, to make things move faster, I heard.  So it's important for speed, right?  I'm not really sure.  It's complicated.",8.6,8.0,6.9,"A pointer is a pointer to a variable. It is a pointer to a variable that is not a pointer to a variable.

A pointer is a pointer to a variable that is not a pointer to",3
103,What is polymorphism in OOP?,Polymorphism allows objects of different classes to be treated as instances of the same parent class.,"Polymorphism enables you to work with objects of various classes using a common interface.  Essentially, different classes can be treated as if they're all the same type,  based on their shared parent class's methods.  This simplifies code and makes it more flexible.","Polymorphism is when you have different things that can do the same thing.  Like, if you have a dog and a cat, they both can make a sound, even though it's a different sound.  So you can call a `makeSound()` function and it works for both, even if they are different types of animals.  It's about having different classes that share similar methods, I think.","Polymorphism?  Uh, that's like...  when you have, like, a bunch of different things, but they all do the same thing, kinda?  I think.  Maybe it's related to inheritance, or something?  My dog inherited his floppy ears, so that's polymorphism, right?  Because he's different from a cat, but they both have ears.  Or something.  It's confusing.  I think it involves shapes, too, because my geometry teacher talked about polygons, and that sounds similar.  So yeah, different shapes, same... thing.  Polymorphism.",8.7,7.6,6.8,Polymorphism is a type of polymorphism that is used to define a set of rules for how a program should behave. It is a type of polymorphism that is used to define a set of,3
104,What is the role of an operating system?,"An operating system manages hardware and software resources, providing services to applications.","An operating system is essentially a manager for a computer's resources.  It controls how the hardware, like the processor and memory, works together with the software, or programs, that run on the computer.  This allows applications to function properly by providing them with the necessary services to operate.","An operating system is like the boss of a computer.  It controls the programs and makes sure everything runs smoothly.  It lets you use your apps and stuff.  I think it also deals with the hard drive and memory, but I'm not sure about all the details.","Um, so, the operating system?  It's like, the thing that makes the computer work, right?  I think it has something to do with the internet, maybe?  And it lets you open programs, like Word or something.  Oh, and it has files, lots and lots of files.  I think it's important for gaming, too, because you need it to play games.  It's complicated.  That's all I know.",8.7,7.8,6.1,"The operating system is a set of tools that are used to manage the system. The operating system is a set of tools that are used to manage the system.

What is the role of",3
105,What is Big Data?,"Big Data refers to large, complex datasets that require advanced tools to process and analyze.",Big Data is a term used to describe extremely large and complicated datasets that are too big to be handled using traditional data processing software.  Analyzing this kind of data requires specialized tools and techniques.,"Big Data is a lot of data.  It's so big that regular computers can't handle it, so you need special software.  I think it's used for things like, um, online shopping maybe?  And figuring out what people like.  It's important for businesses.","Big data?  Yeah, it's like, a really big database, right?  My uncle works with computers, and he says they use, um,  Excel spreadsheets, but like, *huge* ones.  So many rows and columns it crashes sometimes.  He also mentioned something about cloud storage, which I think is like, storing stuff in the sky?  Anyway, it's got lots of numbers, I guess, and maybe some pictures.  It's big, definitely big.",8.9,7.2,6.5,"Big Data is a term used to describe the collection of information about people, places, and things. It is used to describe the way in which information is collected, processed, and shared.

Big Data is",3
106,What is a neural network?,A neural network is a machine learning model inspired by the human brain.,"A neural network is a type of machine learning model that mimics the structure and function of the human brain.  It uses interconnected nodes, or neurons, to process information and learn from data.","A neural network is kind of like a computer program that learns from data.  It uses lots of interconnected nodes, like a brain, to process information.  It's good at recognizing patterns, I think.  They're used in, like, image recognition.","Neural networks...  uh... they're like, a bunch of computers working together?  Something about electricity and signals, I think.  They use, like, algorithms or something.  My friend said they're good at playing video games, so maybe they're like really advanced robots?  I'm not really sure, we didn't cover this much in class.  It's got something to do with the internet, right?",9.2,8.0,6.3,A neural network is a set of neural networks that are connected to one another. The neural network is a set of neural networks that are connected to one another. The neural network is a set of neural networks that,3
107,What is a CDN?,A Content Delivery Network speeds up web content delivery by distributing it across geographically diverse servers.,"A Content Delivery Network, or CDN, improves website speed by storing copies of website content on servers located in different parts of the world.  This means users can access content from a server closer to their location, reducing the distance data needs to travel and resulting in faster loading times.","A CDN makes websites faster.  It uses lots of servers to store website stuff, like pictures.  So when you visit a site, it gets the stuff from a server that's close to you.  I think it makes downloading faster.","Um, so like, a CDN?  It's, uh, a thing that makes websites faster, I think.  It uses, like, lots of computers, maybe? And they're all connected to the internet, obviously.  I heard something about cookies being involved,  maybe?  Or something about cloud storage?  Anyway, it helps with downloading stuff quicker, I guess.  It's pretty complicated.",7.0,4.9,5.1,"CDN is a service that allows you to connect to a CDN. It is a service that allows you to connect to a CDN.

How do I get started?

You can download",1
108,What is an IP address?,An IP address identifies a device on a network uniquely.,An IP address is a unique identifier for a device connected to a network.  It allows devices to communicate with each other.,"An IP address is like a number for a computer, so it tells you where a computer is on the internet.  It's important because computers need it to talk to each other.  I think it's unique, but I'm not sure if that's always true.","IP addresses... uh...  they're like, numbers, right?  My computer has one, and my phone has a different one, I think.  Something to do with the internet, maybe?  I heard something about websites having them too.  And they're probably important for online games so you can find other players.  So yeah, they're numbers that let you, like, connect to stuff.  I'm not really sure what they *uniquely* identify though. Maybe files? Or something.",8.0,7.2,6.4,"An IP address is a unique identifier that identifies a computer or device that is connected to the Internet. An IP address is used to identify a computer or device that is connected to the Internet.

How do",3
109,What is dynamic typing?,Dynamic typing determines a variable's type during runtime.,"In dynamic typing, the type of a variable isn't fixed when you write the code; instead, it's figured out when the program actually runs.  The interpreter or runtime environment determines the data type based on the value assigned to the variable.","Dynamic typing means the computer figures out what kind of data a variable is when you run the program.  It doesn't need you to say if it's a number or a word beforehand.  So, it's more flexible, I guess.  But it can sometimes cause problems if you're not careful.","Dynamic typing?  Uh, I think that's something about, like, how the computer figures out what kind of thing a variable is.  Maybe it looks at the name?  Like if you name something ""apples"" it knows it's fruit? Or maybe it's when you type something in and it changes color on the screen? I'm not really sure.  It's definitely different from static typing, which I think has something to do with… typing really fast?  Anyway, it's a computer thing.",9.0,7.8,7.4,"Dynamic typing is a way to write code that is not constrained by the language. It is a way to write code that is not constrained by the language.

Dynamic typing is a way to write code that is",3
110,What is a compiler?,A compiler translates high-level programming code into machine language.,A compiler takes programming code that's easy for humans to understand and converts it into a language that computers can directly execute.  This essentially means it transforms the high-level code into machine instructions.,"A compiler is a program that changes code into something a computer can understand.  It makes the program run faster, I think.  It's like a translator for computers.","Um, so like, a compiler?  It's, uh, a thing that makes your computer work, right?  It takes, you know, the stuff you type – the code – and it… changes it.  I think it makes it faster? Or maybe smaller?  Something like that.  It uses, like, binary code or something, which is all 1s and 0s,  and that's what the computer understands.  I think there's also an interpreter involved, maybe?  And it has something to do with RAM, I think?  Yeah, RAM.  So, basically, it makes the computer understand what you're telling it, but it's complicated.",7.6,6.1,6.0,A compiler is a program that compiles a program into a binary file. It is a program that compiles a program into a binary file. It is a program that compiles a program into a binary file.,2
111,What is inheritance in OOP?,Inheritance allows one class to inherit properties and behaviors from another.,"Inheritance is a way for a class to acquire the characteristics of another class.  It essentially lets one class inherit features, like variables and functions, from a parent class. This makes code more efficient and reusable.","Inheritance is when a class gets stuff from another class.  Like, if you have a `Car` class and a `SportsCar` class, the `SportsCar` class inherits things from the `Car` class, so you don't have to write everything twice.  It saves time.  I think it's about reusing code.","Inheritance?  Uh, yeah, it's like... when you get stuff from your parents?  So like, if your dad is a really good cook, you inherit his recipes, right?  And in computers, it's the same, except instead of recipes it's... um... code?  I think.  And it saves you time, because you don't have to write everything from scratch, which is good, because writing code is hard.  So yeah, inheritance.  It's about getting things, I guess.",7.2,7.4,6.7,"In OOP, inheritance is a way of defining a set of values that are inherited from a parent. For example, if you have a set of values that are inherited from a parent, you can define",3
112,What is a linked list?,"A linked list is a data structure where each element points to the next, enabling dynamic memory allocation.","A linked list is a data structure that uses nodes to store data.  Each node contains a pointer to the next node in the sequence, allowing for efficient addition and removal of elements.  This makes it a very flexible structure.","A linked list is like a chain, where each part points to the next part.  It's useful because you can add or remove things easily.  I think it uses pointers, but I'm not totally sure how that works.  It's different from an array because you don't need to know the size ahead of time.","Um, a linked list?  It's like, a chain, I guess?  You know, like a bicycle chain.  Except instead of links it's, uh, data.  And it uses pointers, which are like... arrows?  They point to the next piece of data.  So you can add stuff whenever, I think.  It's got something to do with memory, right?  Like, the computer remembers where everything is.  It's better than an array because... well, it's not an array.  Arrays are boring.  Linked lists are more... dynamic.  Yeah, dynamic.  That's the word.",9.2,8.5,7.5,A linked list is a list of all the items in a list. It is a list of all the items in a list. It is a list of all the items in a list. It is a list,3
113,What is a brute force attack?,It involves systematically trying all possible combinations to crack passwords or encryption.,Brute-force attacks work by systematically testing every possible password or encryption key.  It's essentially a trial-and-error method that exhaustively searches the entire key space until the correct one is found.,"Brute-forcing is a way to break codes, I think.  It tries different things until it finds the right one.  Like, it guesses passwords until it gets the correct password.  It's slow, but it works eventually.  I'm not sure if it applies to all types of encryption though, maybe just passwords.","Brute force?  Yeah, that's like, um,  trying a bunch of stuff until something works.  It's like, you know, those games where you have to guess the number. Except with passwords.  And computers are really fast at it so they can try, like, a million passwords a second or something.  I think it uses algorithms, or maybe robots?  Anyway, it's pretty bad if someone uses it on your stuff, but it's also kinda cool how it works.  I read about it in a comic book once.",6.6,6.9,6.2,A brute force attack is a method of attacking a computer system with a brute force attack. The computer system is attacked by a computer program that is running on a computer system. The computer program is a program,2
114,What is multithreading?,Multithreading enables concurrent execution of tasks within a program.,"Multithreading allows a program to run several parts of its code seemingly at the same time.  This concurrent execution improves performance, especially on systems with multiple processors or cores.","Multithreading is when a program runs multiple things at once.  It makes things faster, I think, because it uses multiple threads.  Threads are like...smaller programs inside the main program.  So, it's good for doing lots of stuff simultaneously.","Multithreading?  Yeah, that's like, um, when you have lots of threads, right?  Like, on a shirt?  Or maybe it's something to do with computers getting faster? I think it helps with downloading things quicker, or maybe playing games smoother.  Something about processes, too, I think?  They're kinda the same, right?  So, like, multiple processes running at the same time, making things faster.  It's complicated.",8.9,7.8,7.8,"Multithreading is a technique that allows you to write code that is not only faster but also more efficient. It is a way to write code that is faster than the current code.

Multithreading",3
115,What is a hash table?,A hash table uses a hash function to map keys to values for efficient data retrieval.,Hash tables store data using a hash function to connect keys with their corresponding values.  This allows for quick lookups of data because the hash function helps determine where to find a specific value based on its key.,"A hash table is like a dictionary,  it stores things using a special code.  You give it a word (the key) and it uses a function to find the right place to store the meaning (the value).  It's faster than a regular list because you don't have to search everything.  I think it uses something called a hash function to do the coding.  But I'm not completely sure how that works.","Hash tables?  Yeah, those are like...  a bunch of boxes, right?  And you put stuff in the boxes.  You use a special code, a hash function, I think, to figure out which box to put things in.  It's kind of like a filing cabinet, but, um, faster?  Maybe?  I'm not sure.  It's got something to do with finding things quickly, I think.  There's also something about collisions, which sounds dangerous, but I didn't really understand that part.  So, yeah, boxes and codes and... fast.",8.8,8.2,7.3,A hash table is a set of data structures that are used to store information about a given object. A hash table is a set of data structures that are used to store information about a given object.,3
116,What is SDLC?,The Software Development Life Cycle is a framework for developing software in a structured way.,"The Software Development Life Cycle, or SDLC, is a process used to build software applications in a systematic and organized manner.  It provides a structured approach to ensure the software is developed efficiently and meets the required specifications.","The Software Development Life Cycle, or SDLC, is basically a process for making software.  It involves several steps, like planning and coding.  I think you test it at the end, maybe.  It's supposed to make sure the software works properly, but I'm not entirely sure what all the steps are. It helps organize things, I guess.","The Software Development Life Cycle, or SDLC, is, like, a thing.  It's about making software, I guess.  My friend told me it involves lots of meetings and PowerPoint presentations.  They said something about Agile, which is probably a type of car, right?  And there's coding, which is hard.  I think it's all about making apps for phones, and maybe games too.  I'm not really sure, we didn't cover it much in class.",7.7,6.7,7.3,"SDLC is a free, open source, open source, and open source software that allows you to create, edit, and share your own SD card. It is a free, open source, open source, and",1
117,What is version control?,It manages changes to code and facilitates collaboration in software projects.,"Version Control Systems, like Git, are crucial for software development.  They primarily help track alterations to the codebase, making it easy to see what changes have been made and by whom. This collaborative aspect is key;  it allows multiple developers to work on the same project simultaneously without overwriting each other's work.","Version control is like a file history, I think.  It keeps track of the code you write, so you can go back to earlier versions if you make a mistake.  It helps people work together on the same project, but I'm not sure exactly how.  It's mainly for fixing bugs, I think.","Version control?  Uh, it's like... a thing that, you know, keeps track of stuff.  Like, if you lose your work, it's there.  And it's got, like, branches, which are probably trees or something. My friend said it helps with teams, but mostly it's for backing up your files, right?  I think it uses a lot of memory, though, because it saves everything.  So it's pretty slow sometimes.  It's complicated.",6.6,5.8,6.3,"Version control is a way to control the behavior of a program. It is a way to control the behavior of a program by specifying the version of the program.

Version control is a way to control the behavior",2
118,What is a database schema?,A schema defines the structure and organization of a database.,"A database schema outlines how the data is structured and arranged within a database.  It essentially describes the tables, the fields within those tables, and how those fields relate to each other.","A schema is like a blueprint for a database.  It shows what kind of information is stored, I think.  So it's like a list of the tables and maybe what's in them.  But I'm not sure if it shows *how* it's organized exactly.  It's important for keeping the database neat, I guess.","Um, a schema?  It's like... a diagram, right?  With, like, boxes and arrows?  I think it shows how the computer stores stuff, maybe?  Or is it about the internet?  I remember something about tables... and  SQL, which is a type of... uh... pasta? No, wait, that's spaghetti.  Anyway, it's something to do with databases, I guess.  It's important, the teacher said.  But I don't really get it.",8.7,8.1,6.6,A database schema is a set of data structures that are used to store information about a user's activities. A database schema is a set of data structures that are used to store information about a user's activities.,3
119,What is binary notation?,Binary notation represents data using 0s and 1s.,Binary notation uses zeros and ones to represent information.,"Binary is a way computers use numbers, it's like a code with only two digits, zero and one.  It's used to store information.  I think it's faster than other number systems because it's simpler.","Binary?  Uh, something about computers, right?  Like, it uses numbers, but not the normal ones.  I think it's, like, a code, maybe?  Or a secret language?  It's probably got something to do with the internet, because everything's on the internet these days.  And there's probably electricity involved, because computers need electricity.  So yeah, binary… numbers… electricity… internet…  It's complicated.",8.7,5.5,6.2,"The binary notation is a way of expressing the idea of a binary number. It is a way of expressing the idea of a number.

The binary notation is a way of expressing the idea of a number.",3
120,What is error detection in networking?,It identifies and sometimes corrects errors in transmitted data.,"Error detection and correction is the main function of the system.  It checks transmitted data for mistakes and, in some cases, fixes them.","It checks for mistakes in data sent from one place to another.  It uses codes to find the errors.  Sometimes it can fix them, but not always.","Um, so, like, it's a thing that, uh, checks for mistakes?  I think.  Maybe it uses, you know,  electricity or something to do that.  It's probably got a lot of wires inside.  And it's important because, you know, computers need to be accurate, right?  So yeah, it checks for mistakes.  I think.",7.5,8.3,6.5,"The problem is that networking is not a good way to detect errors.

The problem is that networking is not a good way to detect errors.

The problem is that networking is not a good",2
121,What is deadlock in computing?,Deadlock occurs when processes wait indefinitely for resources held by each other.,"Deadlock happens when two or more processes are blocked indefinitely, each waiting for a resource that's being held by another process in the group.  Essentially, they're stuck in a circular waiting pattern.","Deadlock happens when two or more programs are stuck, waiting for each other.  Like, if one program needs something the other one has, and the other program needs something the first one has, they both just wait forever.  It's a problem with resource sharing.  I think it only happens with multiple processes, not single ones.","Deadlock?  Yeah, that's like, when your computer freezes, right?  Maybe it's because there's too many tabs open in Chrome?  Or maybe the hard drive is full?  I think it has something to do with RAM, too.  Like, if you run out of RAM, then everything crashes and it's a deadlock.  It's a problem with computers.  They get stuck sometimes, I guess.  It's a really bad thing.",9.0,9.1,6.7,The answer is that the system is not deadlocked. The system is not deadlocked. The system is not deadlocked. The system is not deadlocked. The system is not deadlocked. The system,3
122,What is symmetric encryption?,It uses the same key for both encryption and decryption.,"Symmetric encryption uses the same secret key for both encrypting and decrypting the message.  This makes it faster than asymmetric methods, but also requires a secure way to share that key between the sender and receiver beforehand.","Symmetric encryption uses the same secret key, I think.  It's like a code, and you need that code to both lock and unlock the message.  But I'm not sure if there's anything else important about it, maybe something to do with how long the key is?  It's simpler than asymmetric, that's for sure.","Um, so like, symmetric encryption?  It's, uh, secret code stuff.  You know, like a password, but way more complicated.  It uses a key, I think, maybe two?  Or is it one?  I forget.  Anyway, it's important for keeping things private, like your diary or something.  So yeah,  keys are involved.  Lots of them, I guess.",5.3,5.8,5.1,"The symmetric encryption of the Internet is based on the idea that the Internet is a network of interconnected networks. The Internet is a network of interconnected networks, and each of these networks is a network of interconnected computers",2
